company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,Cluster 0,0.9315343763468936
ADANIENSOL,1,Cluster 1,1.1201150732133605
ADANIENT,1,Cluster 1,0.9773457666927551
ADANIGREEN,1,Cluster 1,2.4231875888502583
ADANIPORTS,1,Cluster 1,0.9198754952239654
ADANIPOWER,0,Cluster 0,1.142274646486343
AMBUJACEM,0,Cluster 0,0.785140043110982
APOLLOHOSP,0,Cluster 0,0.7493885148651835
ASIANPAINT,0,Cluster 0,0.5891539953763856
AXISBANK,2,Cluster 2,1.9717352170981473
BAJAJAUTO,0,Cluster 0,0.5412028578655518
BAJAJFINSV,2,Cluster 2,1.1386007243532243
BAJAJHLDNG,1,Cluster 1,1.1857949488935466
BAJFINANCE,1,Cluster 1,2.42656402423811
BANKBARODA,2,Cluster 2,1.9699423223564645
BEL,4,Cluster 4,0.7492348866570856
BHARTIARTL,0,Cluster 0,0.914378432333696
BHEL,0,Cluster 0,2.164930677605589
BOSCHLTD,0,Cluster 0,0.7623555511642884
BPCL,0,Cluster 0,0.257578729183133
BRITANNIA,0,Cluster 0,1.5922589758711816
CANBK,2,Cluster 2,2.7149158469900945
CHOLAFIN,2,Cluster 2,1.2321749576248628
CIPLA,3,Cluster 3,1.1920928955078125e-07
COALINDIA,0,Cluster 0,5.584420994761962
DABUR,0,Cluster 0,0.7604109120530317
DIVISLAB,0,Cluster 0,0.6860572119946935
DLF,0,Cluster 0,2.16998787850573
DMART,1,Cluster 1,0.8260305827197957
DRREDDY,0,Cluster 0,1.2448376781695314
EICHERMOT,0,Cluster 0,0.48145381102133755
GAIL,0,Cluster 0,0.3916179449371186
GODREJCP,0,Cluster 0,0.4726737986815899
GRASIM,0,Cluster 0,1.0117571225005184
HAL,4,Cluster 4,0.7492348866570809
HAVELLS,0,Cluster 0,0.9453046229959774
HCLTECH,0,Cluster 0,0.6393836035485931
HDFCBANK,2,Cluster 2,4.932757487884185
HDFCLIFE,1,Cluster 1,1.0941048423962911
HEROMOTOCO,0,Cluster 0,1.1287337559787034
HINDALCO,0,Cluster 0,2.6862292645952124
HINDUNILVR,0,Cluster 0,1.5878547698398515
ICICIBANK,2,Cluster 2,1.2553227166136371
ICICIGI,0,Cluster 0,0.8825490121351806
ICICIPRULI,0,Cluster 0,2.291005540661401
INDIGO,1,Cluster 1,2.7933267435796005
INDUSINDBK,2,Cluster 2,0.878216686947395
INFY,0,Cluster 0,0.5663666873952566
IOC,0,Cluster 0,0.29800922163935595
IRCTC,1,Cluster 1,1.1327403069266253
IRFC,2,Cluster 2,0.6802497303257133
ITC,0,Cluster 0,0.4970067421085331
JINDALSTEL,0,Cluster 0,1.1329321496445484
JIOFIN,0,Cluster 0,1.2485448733146387
JSWENERGY,0,Cluster 0,0.7805244431130176
JSWSTEEL,0,Cluster 0,0.885209956377037
KOTAKBANK,2,Cluster 2,1.6900893157790535
LICI,0,Cluster 0,1.9395490474812462
LODHA,0,Cluster 0,1.8736764863096627
LT,0,Cluster 0,0.9374914651307074
LTIM,1,Cluster 1,1.0077107052449537
M&M,0,Cluster 0,0.6714333093958028
MARUTI,0,Cluster 0,0.2894138954998825
MOTHERSON,0,Cluster 0,0.43765349094247247
NAUKRI,0,Cluster 0,1.0755193494918933
NESTLEIND,0,Cluster 0,0.7706048316865132
NHPC,0,Cluster 0,1.4696821346938296
NTPC,0,Cluster 0,0.5424932961627419
ONGC,0,Cluster 0,0.3943253695135607
PFC,2,Cluster 2,1.0539306817486456
PIDILITIND,0,Cluster 0,0.5889328221439746
PNB,2,Cluster 2,1.3747755326725433
POWERGRID,0,Cluster 0,1.1657509931910004
RECLTD,2,Cluster 2,0.777312476049658
RELIANCE,0,Cluster 0,0.20086782107476556
SBILIFE,1,Cluster 1,1.0418961241928903
SHREECEM,0,Cluster 0,0.28008803184355235
SHRIRAMFIN,2,Cluster 2,1.2751166651976584
SIEMENS,0,Cluster 0,1.4441937391796933
SUNPHARMA,0,Cluster 0,1.1155395774118586
TATACONSUM,0,Cluster 0,1.7960517873471844
TATAMOTORS,0,Cluster 0,0.4088380285676181
TATAPOWER,0,Cluster 0,1.0430351229590362
TATASTEEL,0,Cluster 0,0.34355447879944057
TCS,0,Cluster 0,0.27155245439098685
TECHM,0,Cluster 0,0.3511374117310446
TITAN,1,Cluster 1,0.6138518492613299
TORNTPHARM,0,Cluster 0,0.4272222963578274
TRENT,1,Cluster 1,1.76452559977427
TVSMOTOR,0,Cluster 0,1.3511326498324365
ULTRACEMCO,0,Cluster 0,0.3910354048657599
UNIONBANK,0,Cluster 0,0.3910354048657599
