Rank,company_id,year,return_on_equity_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,company_name,roce_percentage,roe_percentage,sales,net_profit,eps,opm_percentage,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,broad_sector,sub_sector,market_cap_category,return_on_equity_pct_score,net_profit_margin_pct_score,operating_profit_margin_pct_score,asset_turnover_score,free_cash_flow_cr_score,compounded_sales_growth_score,compounded_profit_growth_score,composite_quality_score
1,TCS,2022,43.13,20.05,28,0.0877,72.7997,1.3607,39211,738,105,24.3549,41,7818,39949,Tata Consultancy Services Ltd,64.3,0.52,191754,38449,105,28,10.0,8.0,,422088.96,421038.16,46.18,8.56,20.79,0.81,Information Technology,IT Services,Large Cap,100.0,74.23076923076923,100.0,90.01326162233848,100.0,0,0,75.14
2,INDIGO,2024,892.57,11.85,16331,0.0186,22.6126,56.3863,9424,11759,212,1.9062,0,17,21183,Interglobe Aviation Ltd,24.5,,68904,8167,212,16331,,,,1040632.92,1061542.29,76.23,7.87,24.64,4.27,Consumer Discretionary,Airlines,Large Cap,100.0,49.4154895275207,100.0,100.0,100.0,0,0,72.41
3,COALINDIA,2016,40.96,18.32,18714,0.0344,9.9631,0.6856,21308,8154,23,0.5515,121,1199,13154,Coal India Ltd,63.6,52.0,77861,14267,23,18714,,,,,,,,,,Materials,Mining & Metals,Large Cap,100.0,100.0,100.0,7.253550668184803,100.0,0,0,70.73
4,POWERGRID,2022,22.07,40.42,86,1.7666,5.0421,0.1659,26877,753,18,1.0931,61,134696,26124,Power Grid Corporation of India Ltd,13.2,19.0,41622,16824,18,86,,,,270631.91,263995.91,65.69,3.16,26.9,4.37,Energy,Power Transmission,Large Cap,80.33820578962455,100.0,100.0,0.520521442719609,100.0,0,0,65.14
5,HINDUNILVR,2020,82.1,16.98,9861,0.0,70.6297,1.974,9414,1791,31,3.8097,80,0,7623,"Hindustan Unilever Ltd
",27.2,20.2,39783,6756,31,9861,,,,365239.67,374855.61,22.92,6.47,12.11,3.14,Consumer Staples,FMCG,Mid Cap,75.29871926351689,44.90191017036656,100.0,84.21874789587794,100.0,0,0,63.98
6,INFY,2023,31.97,16.43,24,0.1101,133.2077,1.1779,21396,1071,58,3.6446,73,8299,22467,Infosys Ltd,40.0,31.8,146767,24108,58,24,13.0,11.0,,871427.0,1021527.28,71.12,11.97,5.78,0.56,Information Technology,IT Services,Large Cap,56.21814475025481,39.42307692307692,60.0,56.34347601856626,53.46522756718353,100,100,62.62
7,HEROMOTOCO,2015,36.15,8.58,3520,0.0153,73.9415,2.5848,2217,31,118,16.35,51,100,2186,"Hero MotoCorp Ltd
",29.1,22.0,27538,2364,118,3520,,,,,,,,,,Consumer Discretionary,Two Wheelers,Large Cap,90.00155074823599,29.50560155869459,87.81097637204644,100.0,69.87358341083669,0,0,60.58
8,ADANIPOWER,2024,48.28,41.37,36,0.8023,8.2972,0.5472,17651,3481,54,1.1186,0,34616,14170,Adani Power Ltd,32.2,57.1,50351,20829,54,36,,,,1372183.55,1357949.64,44.57,9.91,24.76,1.65,Energy,Power & Utilities,Large Cap,100.0,100.0,47.46835443037978,22.47570132203234,64.49162131580366,0,0,59.04
9,TATASTEEL,2022,36.48,17.11,26,0.6603,11.862,0.8638,33476,10905,33,9.3729,16,75561,44381,"Tata Steel Ltd
",7.02,6.55,243959,41749,33,26,,,,358418.76,342775.45,33.03,9.76,22.35,0.52,Materials,Steel,Mid Cap,100.0,95.51948051948054,0.05297148635850459,28.61149397734763,100.0,0,0,57.2
10,HAL,2021,2249.31,14.16,23,0.0417,21.3521,123.0215,13934,1190,48,2.88,31,6,15124,Hindustan Aeronautics Ltd,38.9,28.9,22882,3239,48,23,,,,1800174.45,2098463.2,8.56,2.01,35.03,0.38,Industrials,Defence & Aerospace,Large Cap,100.0,22.34822762460954,24.52830188679245,100.0,100.0,0,0,57.03
11,TORNTPHARM,2016,49.6,25.92,41,0.6732,15.0272,0.7525,1873,869,51,4.1106,34,2352,2742,Torrent Pharmaceuticals Ltd,23.2,24.2,6687,1733,51,41,,,,,,,,,,Healthcare,Pharmaceuticals,Large Cap,100.0,90.4844467108618,1.195591257238932,69.54793840039738,68.71727748691099,0,0,56.01
12,HDFCBANK,2021,15.18,24.78,16848,7.2037,1.9197,0.0714,40653,1823,58,38.078,11,1511418,42476,HDFC Bank Ltd,7.67,17.1,128552,31857,58,16848,22.0,23.0,,573615.98,564871.82,11.64,8.0,17.14,2.44,Financials,Private Banks,Large Cap,6.531332744924963,90.94858797972483,100.0,0.8713893819590127,100.0,0,100,55.36
13,BPCL,2024,35.51000000000001,5.99,10,0.7219,11.3555,2.2137,25415,10521,62,3.541,33,54599,35936,Bharat Petroleum Corporation Ltd,32.1,41.9,448083,26859,62,10,,,,468662.13,606487.07,68.15,0.72,26.59,1.15,Energy,Oil & Gas Refining,Large Cap,100.0,5.68281938325991,6.329113924050637,100.0,94.37315742073541,0,0,50.96
14,BEL,2023,3981.33,16.84,23,0.52,230.0526,123.1528,3907,2708,4,0.6818,44,39,1199,Bharat Electronics Ltd,34.6,26.3,17734,2986,4,23,,,,1055965.69,1261553.4,18.0,12.66,25.88,4.22,Industrials,Defence Electronics,Large Cap,100.0,31.44777943772919,24.52830188679245,100.0,47.24157217674276,0,0,50.48
15,DIVISLAB,2016,26.23,29.82,38,0.0098,303.2,0.7709,632,406,42,8.1,24,42,1038,Divis Laboratories Ltd,16.5,12.2,3776,1126,42,38,,,,,,,,,,Healthcare,Pharmaceuticals,Large Cap,100.0,100.0,1.055482906781244,76.07692853594492,17.95647905759162,0,0,50.46
16,NAUKRI,2018,24.5,50.71,22,0.0005,124.0,0.3806,104,149,42,1.6762,13,1,253,Info Edge (India) Ltd,3.65,2.44,988,501,42,22,,,,,,,,,,Communication Services,Internet & Platforms,Large Cap,100.0,98.78219687817136,58.79999999999998,8.477806467478151,0.5407186923877105,0,0,49.57
17,IOC,2024,23.53,5.56,10,0.7231,10.2823,1.6084,39635,31464,30,1.3318,40,132628,71099,"Indian Oil Corporation
",21.31,25.44,776352,43161,30,10,,,,1418164.33,1786391.89,28.61,4.24,33.71,1.25,Energy,Oil & Gas Refining,Mid Cap,90.79965606190889,4.498898678414094,6.329113924050637,83.57939103597587,100.0,0,0,47.68
18,SUNPHARMA,2017,21.41,24.85,32,0.2683,26.78,0.5169,2896,4186,29,15.2667,12,9832,7082,Sun Pharmaceuticals Industries Ltd,17.3,16.7,31578,7846,29,32,,,,,,,,,,Healthcare,Pharmaceuticals,Large Cap,74.85584218512898,85.02804691483938,0.7752662058658697,0.0,100.0,0,0,46.58
19,NESTLEIND,2024,117.75,16.12,24,0.1033,41.1862,2.3182,2938,1237,41,3.4792,79,345,4175,Nestle India Ltd,185.43,135.61,24394,3933,41,24,,,,1677775.19,1677279.88,54.96,14.34,15.49,3.85,Consumer Staples,Food Products,Large Cap,100.0,39.35209086215799,0.1238791882963662,100.0,32.13581118932217,0,0,45.74
20,TATAMOTORS,2024,37.46,7.26,14,1.2631,6.5302,1.1851,45133,22782,94,11.0859,7,107262,67915,Tata Motors Ltd,20.1,49.4,437928,31807,94,14,,,,1504106.64,1588737.42,67.07,0.93,15.35,3.65,Consumer Discretionary,Automobiles,Large Cap,95.08025122121421,21.46858256210424,0.1500187523440429,27.93091541245952,100.0,0,0,44.81
21,CIPLA,2024,15.55,16.12,6291,0.0209,35.3388,0.7922,1152,2982,51,16.5876,25,559,4134,"Cipla Ltd
",22.8,16.8,25774,4154,51,6291,,,,439803.15,562931.78,59.75,5.93,33.7,0.12,Healthcare,Pharmaceuticals,Large Cap,30.39453717754173,40.50994390617033,100.0,83.63494429068197,39.22611256544503,0,0,42.92
22,EICHERMOT,2016,36.63,21.68,27,0.0063,1008.0,1.2498,462,1001,49,13.5296,20,23,1463,Eicher Motors Ltd,31.1,24.2,6173,1338,49,27,,,,,,,,,,Consumer Discretionary,Two Wheelers,Large Cap,91.86244863146467,100.0,0.4750593824228025,31.78283958849304,9.420963797320105,0,0,42.63
23,JSWSTEEL,2022,31.11,14.3,27,1.0734,8.1952,0.7449,11522,14748,85,22.3578,25,72237,26270,JSW Steel Ltd,13.36,11.66,146371,20938,85,27,,,,2278384.96,2746916.82,36.76,12.62,39.17,2.73,Materials,Steel,Large Cap,77.05421660681063,65.10822510822514,0.05832214154623232,14.36087972673338,75.5583783930658,0,0,41.81
