company_id,company_name,broad_sector,year,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,fcf_yield_pct,sector_median_pe,pe_vs_sector_median_pct,flag
ABB,Abbott India Ltd,Industrials,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96,0.0033848960626003725,48.9,54.560327198364014,Caution
ABB,Abbott India Ltd,Industrials,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96,0.03586687943255394,48.9,54.560327198364014,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2024,1905112.17,1807796.2,15.07,6.08,39.72,2.56,0.1614078188372499,34.24,-55.987149532710276,Discount
BAJFINANCE,Bajaj Finance Ltd,Financials,2024,2473271.58,2632574.41,69.2,4.11,15.96,0.27,0.10043377444219044,34.24,102.10280373831775,Caution
BANKBARODA,Bank of Baroda,Financials,2024,590971.02,656699.32,16.89,4.15,24.7,2.62,-0.35263996532351116,34.24,-50.671728971962615,Discount
BEL,Bharat Electronics Ltd,Industrials,2024,1354781.06,1259877.04,17.89,9.22,23.14,0.76,-0.2021728883632312,48.9,-63.415132924335374,Discount
BHEL,"Bharat Heavy Electricals Limited
",Industrials,2024,540053.85,682460.17,29.8,11.43,21.59,4.04,0.05073568126585896,48.9,-39.05930470347648,Discount
BPCL,Bharat Petroleum Corporation Ltd,Energy,2024,468662.13,606487.07,68.15,0.72,26.59,1.15,-0.0025604799773346312,44.915,51.731047534231344,Caution
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2024,971931.96,1024979.49,16.79,10.36,13.52,2.83,-0.006790598798706034,34.24,-50.96378504672898,Discount
COALINDIA,Coal India Ltd,Materials,2024,454024.84,574785.39,34.27,14.75,25.15,4.38,-0.0621111391174104,55.62,-38.38547285149226,Discount
DMART,Avenue Supermarts Ltd,Consumer Discretionary,2024,3053088.97,3624591.94,72.53,11.71,36.84,1.94,0.004257982694818094,46.1,57.331887201735356,Caution
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2024,2441803.28,2725256.67,11.73,10.19,14.56,0.09,0.005446794223324985,47.06,-75.07437314067148,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,2024,222391.83,234358.89,15.62,13.61,19.29,4.41,0.02023455627843883,46.1,-66.11713665943601,Discount
GAIL,GAIL (India) Ltd,Energy,2024,1531867.57,1613856.89,25.84,9.54,33.07,0.31,0.05888237453842045,44.915,-42.46910831570745,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,2024,1327797.2,1350416.57,33.59,8.07,23.55,3.09,0.0030878209413304986,50.95,-34.072620215897935,Discount
GRASIM,Grasim Industries Ltd,Industrials,2024,478951.82,601673.21,79.35,5.68,15.23,0.98,0.015659195114865625,48.9,62.26993865030674,Caution
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,2024,548890.59,587463.38,34.51,11.88,7.52,4.32,0.0202226093910628,50.95,-32.26692836113838,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,2024,1596987.55,2014403.87,20.83,12.38,22.57,0.35,0.0010645042286021578,34.24,-39.164719626168235,Discount
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,2024,1040632.92,1061542.29,76.23,7.87,24.64,4.27,-0.0533329274265127,46.1,65.35791757049891,Caution
INDUSINDBK,IndusInd Bank Ltd,Financials,2024,1807433.12,1674611.06,8.99,3.7,28.79,1.42,-1.0904967814244766,34.24,-73.74415887850468,Discount
INFY,Infosys Ltd,Information Technology,2024,1112279.92,1372029.68,35.99,8.97,36.7,4.1,0.23492287804674208,63.63,-43.43862957724344,Discount
IOC,"Indian Oil Corporation
",Energy,2024,1418164.33,1786391.89,28.61,4.24,33.71,1.25,0.01762842251151529,44.915,-36.30190359568073,Discount
IRFC,Indian Railway Finance Corporation Ltd,Financials,2024,2618348.58,2449260.08,9.81,3.91,16.66,2.82,-0.005346881659278537,34.24,-71.34929906542055,Discount
JSWENERGY,JSW Energy Ltd,Energy,2024,110870.53,124622.6,24.79,9.88,35.95,1.25,-0.26066439837529415,44.915,-44.80685739730602,Discount
LT,Larsen & Toubro Ltd,Industrials,2024,1124597.5,1097873.76,30.8,2.48,16.63,1.26,-0.4417580512138787,48.9,-37.01431492842536,Discount
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,2024,4173085.48,3837414.39,14.22,0.81,29.08,2.37,0.024849718630733635,46.1,-69.15401301518439,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,2024,1503863.63,1891991.87,20.78,8.26,29.97,1.78,0.05811697168313061,46.1,-54.92407809110629,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,2024,146151.16,161406.34,9.54,2.38,33.39,2.18,1.5087119390636379,46.1,-79.3058568329718,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,2024,563824.44,544283.76,32.88,8.33,11.87,4.29,-0.005143445005682975,48.33,-31.967721911855985,Discount
NHPC,"NHPC Ltd
",Energy,2024,1740404.25,2103124.81,71.17,13.74,18.26,1.68,0.02229367113990902,44.915,58.45485917844818,Caution
NTPC,NTPC Ltd,Energy,2024,907823.11,1142814.16,30.8,5.24,37.12,0.06,0.04384113993308675,44.915,-31.426026939775127,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,2024,390111.05,499988.49,18.15,10.36,11.72,1.11,-0.9205071222668519,44.915,-59.59033730379606,Discount
PIDILITIND,Pidilite Industries Ltd,Materials,2024,162274.18,165749.2,36.12,12.3,5.36,1.01,0.13064308813638745,55.62,-35.059331175836036,Discount
PNB,Punjab National Bank,Financials,2024,1825925.6,2365495.49,19.29,10.91,23.64,1.32,-1.419992139876893,34.24,-43.6623831775701,Discount
SBILIFE,SBI Life Insurance Company Ltd,Financials,2024,886097.71,1097553.71,69.98,9.48,31.04,1.62,-0.26261212208752915,34.24,104.38084112149532,Caution
SBIN,State Bank of India,Financials,2024,2400436.05,2686824.35,54.93,2.72,21.53,0.42,0.34410414724441424,34.24,60.426401869158866,Caution
SHREECEM,Shree Cement Ltd,Materials,2024,3154358.33,2911084.5,25.87,1.21,26.58,3.2,0.006974477119725329,55.62,-53.487953973390866,Discount
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,2024,868933.47,1098024.4,68.53,7.91,28.82,1.86,-0.4315635350080369,34.24,100.14602803738318,Caution
SIEMENS,Siemens Ltd,Industrials,2024,1191331.95,1268446.56,33.32,9.25,30.88,3.69,0.054057141672394504,48.9,-31.86094069529652,Discount
TATAPOWER,"Tata Power Company Ltd
",Energy,2024,1647269.48,1925345.06,14.5,3.48,12.02,0.49,-0.056335651893459474,44.915,-67.71679839697205,Discount
TITAN,"Titan Company Ltd
",Consumer Discretionary,2024,1793769.72,2116401.21,10.13,10.51,21.0,3.1,0.00986748733834129,46.1,-78.02603036876356,Discount
